periodid,periodname,periodcode,categoryoptioncomboid,categoryoptioncomboname,Clinics -2017_HIV_Clients receiving HIV test results (at PITC),Clinics HIV_Clients receiving HIV test results (at PITC),Clinics -2017_HIV_Clients receiving HIV test results (at VCT),Clinics HIV_Clients receiving HIV test results (at VCT),Clinics -2017_HIV_Clients testing positive for HIV (at PITC),Clinics HIV_Clients testing positive for HIV (at PITC),Clinics -2017_HIV_Clients testing positive for HIV (at VCT),Clinics HIV_Clients testing positive for HIV (at VCT),Health Centers -2017_HIV_Clients receiving HIV test results (at PITC),Health Centers HIV_Clients receiving HIV test results (at PITC),Health Centers -2017_HIV_Clients receiving HIV test results (at VCT),Health Centers HIV_Clients receiving HIV test results (at VCT),Health Centers -2017_HIV_Clients testing positive for HIV (at PITC),Health Centers HIV_Clients testing positive for HIV (at PITC),Health Centers -2017_HIV_Clients testing positive for HIV (at VCT),Health Centers HIV_Clients testing positive for HIV (at VCT),Hospitals -2017_HIV_Clients receiving HIV test results (at PITC),Hospitals HIV_Clients receiving HIV test results (at PITC),Hospitals -2017_HIV_Clients receiving HIV test results (at VCT),Hospitals HIV_Clients receiving HIV test results (at VCT),Hospitals -2017_HIV_Clients testing positive for HIV (at PITC),Hospitals HIV_Clients testing positive for HIV (at PITC),Hospitals -2017_HIV_Clients testing positive for HIV (at VCT),Hospitals HIV_Clients testing positive for HIV (at VCT),Total_Tested_Clinics_PITC,Total_Positive_Clinics_PITC,Total_Tested_Clinics_VCT,Total_Positive_Clinics_VCT,Total_Tested_HealthCenters_PITC,Total_Positive_HealthCenters_PITC,Total_Tested_HealthCenters_VCT,Total_Positive_HealthCenters_VCT,Total_Tested_Hospitals_PITC,Total_Positive_Hospitals_PITC,Total_Tested_Hospitals_VCT,Total_Positive_Hospitals_VCT,AgeBand,Sex
201005,Tir 2010,201005,NCsDfLwsJbD,"< 1 year, Male",2.0,,0.0,,0.0,,0.0,,12.0,,0.0,,0.0,,0.0,,96.0,,0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,< 1 year,Male
201005,Tir 2010,201005,Zv06s01IYEp,"< 1 year, Female",1.0,,0.0,,0.0,,0.0,,10.0,,0.0,,0.0,,0.0,,94.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,< 1 year,Female
201005,Tir 2010,201005,VCjiUvR8LRp,"1 - 4 years, Male",7.0,,0.0,,0.0,,0.0,,329.0,,9.0,,1.0,,0.0,,212.0,,0.0,,1.0,,0.0,,7.0,0.0,0.0,0.0,329.0,1.0,9.0,0.0,212.0,1.0,0.0,0.0,1 - 4 years,Male
201005,Tir 2010,201005,uQGKsfDfdos,"1 - 4 years, Female",7.0,,1.0,,0.0,,0.0,,371.0,,22.0,,2.0,,0.0,,147.0,,0.0,,1.0,,0.0,,7.0,0.0,1.0,0.0,371.0,2.0,22.0,0.0,147.0,1.0,0.0,0.0,1 - 4 years,Female
201005,Tir 2010,201005,EZGJBfAul47,"5 - 9 Years, Male",16.0,,1.0,,0.0,,0.0,,80.0,,14.0,,2.0,,0.0,,156.0,,0.0,,3.0,,0.0,,16.0,0.0,1.0,0.0,80.0,2.0,14.0,0.0,156.0,3.0,0.0,0.0,5 - 9 Years,Male
201005,Tir 2010,201005,IoL37Mt8o2u,"5 - 9 Years, Female",19.0,,2.0,,0.0,,0.0,,75.0,,25.0,,0.0,,0.0,,162.0,,0.0,,0.0,,0.0,,19.0,0.0,2.0,0.0,75.0,0.0,25.0,0.0,162.0,0.0,0.0,0.0,5 - 9 Years,Female
201005,Tir 2010,201005,oglkp3riNwB,"10 - 14 Years, Male",32.0,,0.0,,0.0,,0.0,,61.0,,18.0,,0.0,,0.0,,179.0,,0.0,,1.0,,0.0,,32.0,0.0,0.0,0.0,61.0,0.0,18.0,0.0,179.0,1.0,0.0,0.0,10 - 14 Years,Male
201005,Tir 2010,201005,jhb8pntrUOs,"10 - 14 Years, Female",22.0,,2.0,,0.0,,0.0,,104.0,,30.0,,2.0,,0.0,,242.0,,0.0,,3.0,,0.0,,22.0,0.0,2.0,0.0,104.0,2.0,30.0,0.0,242.0,3.0,0.0,0.0,10 - 14 Years,Female
201005,Tir 2010,201005,UbsjYFTIzbJ,"15 - 19 Years, Male",21.0,,316.0,,0.0,,0.0,,327.0,,133.0,,0.0,,1.0,,141.0,,11.0,,2.0,,0.0,,21.0,0.0,316.0,0.0,327.0,0.0,133.0,1.0,141.0,2.0,11.0,0.0,15 - 19 Years,Male
201005,Tir 2010,201005,yKxKFNgTYpe,"15 - 19 Years, Female",76.0,,515.0,,0.0,,3.0,,1236.0,,297.0,,15.0,,5.0,,232.0,,60.0,,0.0,,0.0,,76.0,0.0,515.0,3.0,1236.0,15.0,297.0,5.0,232.0,0.0,60.0,0.0,15 - 19 Years,Female
